noma,gender,status,course,year,session1,session2
ME25489892,F,PEPS,WSBIM1207,2020,4,16
KW74380574,M,,WSBIM1207,2020,2,16
IB39390978,F,,WSBIM1207,2020,8,9
KT71520338,F,,WSBIM1207,2020,15,NA
YB67582926,M,,WSBIM1207,2020,5,7
AL60104328,F,,WSBIM1207,2020,3,5
QV94520327,F,,WSBIM1207,2020,16,NA
VM99492297,M,,WSBIM1207,2020,8,17
II44784773,F,,WSBIM1207,2020,10,NA
DS52304686,F,,WSBIM1207,2020,6,16
AM07494518,F,,WSBIM1207,2020,13,NA
PZ38435280,M,,WSBIM1207,2020,8,13
ME79891071,M,,WSBIM1207,2020,12,NA
XI84177749,F,,WSBIM1207,2020,7,5
AN47564272,M,,WSBIM1207,2020,3,3
JO21440917,F,,WSBIM1207,2020,1,5
VH58410952,F,,WSBIM1207,2020,8,7
II46898366,M,,WSBIM1207,2020,13,NA
AR95043354,F,,WSBIM1207,2020,15,NA
UV88851833,F,,WSBIM1207,2020,14,NA
PZ71270126,F,,WSBIM1207,2020,0,11
QA05117117,M,,WSBIM1207,2020,3,8
AQ47839891,F,,WSBIM1207,2020,10,NA
QL58870676,F,,WSBIM1207,2020,12,NA
FG59521927,F,,WSBIM1207,2020,16,NA
BN70620930,M,PEPS,WSBIM1207,2020,9,4
UB79716660,F,,WSBIM1207,2020,11,NA
FM29187023,F,,WSBIM1207,2020,16,NA
SW01793962,F,,WSBIM1207,2020,2,6
OU74460419,M,,WSBIM1207,2020,1,10
TD35926109,F,,WSBIM1207,2020,13,NA
MZ42022334,F,,WSBIM1207,2020,7,5
RB98840306,M,,WSBIM1207,2020,12,NA
JR60716857,M,,WSBIM1207,2020,14,NA
BT32155526,F,,WSBIM1207,2020,7,17
MG83759549,F,,WSBIM1207,2020,16,NA
AH00973406,M,,WSBIM1207,2020,5,14
KQ71460236,M,,WSBIM1207,2020,0,16
DY56120441,M,,WSBIM1207,2020,12,NA
QO54968640,M,,WSBIM1207,2020,8,14
GH52880198,M,,WSBIM1207,2020,11,NA
UQ74583903,M,,WSBIM1207,2020,8,10
QA16088325,F,,WSBIM1207,2020,11,NA
PN16832674,F,,WSBIM1207,2020,0,3
JZ27343018,F,,WSBIM1207,2020,1,11
UJ28159345,F,,WSBIM1207,2020,16,NA
EX11974897,F,,WSBIM1207,2020,16,NA
MX65209930,M,,WSBIM1207,2020,14,NA
NW38220911,M,,WSBIM1207,2020,13,NA
RH75944881,M,,WSBIM1207,2020,7,9
QI95043879,M,,WSBIM1207,2020,9,18
QN29804292,M,,WSBIM1207,2020,4,12
ZX28071451,F,,WSBIM1207,2020,7,11
HW98726470,F,PEPS,WSBIM1207,2020,3,19
UQ91557822,F,,WSBIM1207,2020,7,13
QI79817359,F,,WSBIM1207,2020,5,0
PJ12076259,F,,WSBIM1207,2020,6,5
BJ47766753,M,,WSBIM1207,2020,9,15
FN37265680,M,,WSBIM1207,2020,16,NA
KI61661132,M,,WSBIM1207,2020,8,6
WS02171227,F,,WSBIM1207,2020,10,NA
